###BUILDINGS
##Castle
what_feudal_treasury;Whatopian Treasury;;;;;;;;;x
what_feudal_walls;Whatopian Walls;;;;;;;;;x
what_feudal_plaza;Whatopian Courtyard;;;;;;;;;x
what_feudal_chapel;Whatopian Chapel;;;;;;;;;x
#Army
what_retinue_castle_1;Whatopia Level 1;;;;;;;;;x
what_retinue_castle_2;Whatopia Level 2;;;;;;;;;x
what_retinue_castle_3;Whatopia Level 3;;;;;;;;;x
what_retinue_castle_4;Whatopia Level 4;;;;;;;;;x
what_retinue_castle_5;Whatopia Level 5;;;;;;;;;x
what_retinue_castle_6;Whatopia Level 6;;;;;;;;;x
what_retinue_castle_7;Whatopia Level 7;;;;;;;;;x
what_retinue_castle_8;Whatopia Level 8;;;;;;;;;x
what_retinue_castle_9;Whatopia Level 9;;;;;;;;;x
what_retinue_castle_10;Whatopia Level 10;;;;;;;;;x
#Navy
what_retinue_castle_galley_1;Whatopian Docks Level 1;;;;;;;;;x
what_retinue_castle_galley_2;Whatopian Docks Level 2;;;;;;;;;x
what_retinue_castle_galley_3;Whatopian Docks Level 3;;;;;;;;;x
what_retinue_castle_galley_4;Whatopian Docks Level 4;;;;;;;;;x
what_retinue_castle_galley_5;Whatopian Docks Level 5;;;;;;;;;x
what_retinue_castle_galley_6;Whatopian Docks Level 6;;;;;;;;;x
what_retinue_castle_galley_7;Whatopian Docks Level 7;;;;;;;;;x
what_retinue_castle_galley_8;Whatopian Docks Level 8;;;;;;;;;x
what_retinue_castle_galley_9;Whatopian Docks Level 9;;;;;;;;;x
what_retinue_castle_galley_10;Whatopian Docks Level 10;;;;;;;;;x
##City
what_city_treasury;Whatopian Treasury;;;;;;;;;x
what_city_walls;Whatopian Walls;;;;;;;;;x
#Army
what_retinue_city_1;Whatopia Level 1;;;;;;;;;x
what_retinue_city_2;Whatopia Level 2;;;;;;;;;x
what_retinue_city_3;Whatopia Level 3;;;;;;;;;x
what_retinue_city_4;Whatopia Level 4;;;;;;;;;x
what_retinue_city_5;Whatopia Level 5;;;;;;;;;x
what_retinue_city_6;Whatopia Level 6;;;;;;;;;x
what_retinue_city_7;Whatopia Level 7;;;;;;;;;x
what_retinue_city_8;Whatopia Level 8;;;;;;;;;x
what_retinue_city_9;Whatopia Level 9;;;;;;;;;x
what_retinue_city_10;Whatopia Level 10;;;;;;;;;x
#Navy
what_retinue_city_galley_1;Whatopian Docks Level 1;;;;;;;;;x
what_retinue_city_galley_2;Whatopian Docks Level 2;;;;;;;;;x
what_retinue_city_galley_3;Whatopian Docks Level 3;;;;;;;;;x
what_retinue_city_galley_4;Whatopian Docks Level 4;;;;;;;;;x
what_retinue_city_galley_5;Whatopian Docks Level 5;;;;;;;;;x
what_retinue_city_galley_6;Whatopian Docks Level 6;;;;;;;;;x
what_retinue_city_galley_7;Whatopian Docks Level 7;;;;;;;;;x
what_retinue_city_galley_8;Whatopian Docks Level 8;;;;;;;;;x
