##BUILDINGS
###Castle
cheat_feudal_treasury_1;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_treasury_2;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_treasury_3;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_treasury_4;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_treasury_5;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_treasury_6;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_treasury_7;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_treasury_8;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_treasury_9;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_treasury_10;Cheatopian Treasury;;;;;;;;;x
cheat_feudal_fort_1;Cheatopian Walls;;;;;;;;;x
cheat_feudal_fort_2;Cheatopian Walls;;;;;;;;;x
cheat_feudal_fort_3;Cheatopian Walls;;;;;;;;;x
cheat_feudal_fort_4;Cheatopian Walls;;;;;;;;;x
cheat_feudal_fort_5;Cheatopian Walls;;;;;;;;;x
cheat_feudal_fort_6;Cheatopian Walls;;;;;;;;;x
cheat_feudal_fort_7;Cheatopian Walls;;;;;;;;;x
cheat_feudal_fort_8;Cheatopian Walls;;;;;;;;;x
cheat_feudal_fort_9;Cheatopian Walls;;;;;;;;;x
cheat_feudal_fort_10;Cheatopian Walls;;;;;;;;;x
cheat_retinue_level_1;Cheatopia;;;;;;;;;x
cheat_retinue_level_2;Cheatopia;;;;;;;;;x
cheat_retinue_level_3;Cheatopia;;;;;;;;;x
cheat_retinue_level_4;Cheatopia;;;;;;;;;x
cheat_retinue_level_5;Cheatopia;;;;;;;;;x
cheat_retinue_level_6;Cheatopia;;;;;;;;;x
cheat_retinue_level_7;Cheatopia;;;;;;;;;x
cheat_retinue_level_8;Cheatopia;;;;;;;;;x
cheat_retinue_level_9;Cheatopia;;;;;;;;;x
cheat_retinue_level_10;Cheatopia;;;;;;;;;x
cheat_retinue_galley_1;Cheatopian Docks;;;;;;;;;x
cheat_retinue_galley_2;Cheatopian Docks;;;;;;;;;x
cheat_retinue_galley_3;Cheatopian Docks;;;;;;;;;x
cheat_retinue_galley_4;Cheatopian Docks;;;;;;;;;x
cheat_retinue_galley_5;Cheatopian Docks;;;;;;;;;x
cheat_retinue_galley_6;Cheatopian Docks;;;;;;;;;x
cheat_retinue_galley_7;Cheatopian Docks;;;;;;;;;x
cheat_retinue_galley_8;Cheatopian Docks;;;;;;;;;x
